2025-08-19 00:37:47,750 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:37:47,751 | INFO     | ProductionBot | 📨 WebSocket сообщений: 259848
2025-08-19 00:37:47,751 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:37:47,752 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:37:47,752 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:37:47,753 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:37:47,754 | INFO     | ProductionBot | ==================================================
2025-08-19 00:38:53,620 | INFO     | ProductionBot | ==================================================
2025-08-19 00:38:53,620 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:38:53,621 | INFO     | ProductionBot | ⏱️ Время работы: 24.0 мин
2025-08-19 00:38:53,622 | INFO     | ProductionBot | 🔍 Сканирований: 1317
2025-08-19 00:38:53,622 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:38:53,623 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:38:53,624 | INFO     | ProductionBot | 📨 WebSocket сообщений: 266119
2025-08-19 00:38:53,624 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:38:53,625 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:38:53,626 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:38:53,627 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:38:53,628 | INFO     | ProductionBot | ==================================================
2025-08-19 00:39:59,505 | INFO     | ProductionBot | ==================================================
2025-08-19 00:39:59,506 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:39:59,508 | INFO     | ProductionBot | ⏱️ Время работы: 25.1 мин
2025-08-19 00:39:59,510 | INFO     | ProductionBot | 🔍 Сканирований: 1377
2025-08-19 00:39:59,514 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:39:59,517 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:39:59,517 | INFO     | ProductionBot | 📨 WebSocket сообщений: 272433
2025-08-19 00:39:59,519 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:39:59,520 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:39:59,523 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:39:59,525 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:39:59,528 | INFO     | ProductionBot | ==================================================
2025-08-19 00:40:05,198 | ERROR    | WSManager    | ❌ Kraken WebSocket ошибка: no close frame received or sent
2025-08-19 00:41:05,425 | INFO     | ProductionBot | ==================================================
2025-08-19 00:41:05,462 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:41:05,467 | INFO     | ProductionBot | ⏱️ Время работы: 26.2 мин
2025-08-19 00:41:05,469 | INFO     | ProductionBot | 🔍 Сканирований: 1437
2025-08-19 00:41:05,477 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:41:05,479 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
