2025-08-17 22:19:32,635 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,637 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,640 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,697 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $0.00 from hybrid_bot.log
2025-08-17 22:20:31,970 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:20:31,981 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:20:31,983 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:21:35,073 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:21:35,074 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:21:35,075 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:22:41,347 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:22:41,371 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:22:41,374 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:23:07,366 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $0.00 from production_bot.log
2025-08-17 22:23:07,383 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:23:07,385 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:23:07,387 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:23:07,390 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:23:07,400 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:23:07,402 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:23:07,404 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:23:07,406 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:23:07,408 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:23:07,410 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:23:07,412 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
