timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,unique
2025-08-13T04:15:49.001849,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:49.001928,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:49.002065,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:51.499365,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:51.499434,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:51.499527,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:53.005908,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:53.006044,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:53.006090,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:54.816148,inter_exchange,EDUUSDT,binance,kucoin,0.1443,0.145,0.4851,0.3301,binance→kucoin,profit,False
2025-08-13T04:15:54.816376,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:54.816554,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:56.345677,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:56.345839,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:57.848379,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:57.848619,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:59.342754,inter_exchange,EDUUSDT,binance,kucoin,0.1442,0.145,0.5548,0.3998,binance→kucoin,profit,False
2025-08-13T04:15:59.342887,inter_exchange,BABYDOGEUSDT,okx,mexc,1.375e-09,1.3783e-09,0.24,0.04,okx→mexc,loss,False
2025-08-13T04:15:59.342955,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:00.894843,inter_exchange,EDUUSDT,binance,kucoin,0.1442,0.145,0.5548,0.3998,binance→kucoin,profit,False
2025-08-13T04:16:00.894925,inter_exchange,BABYDOGEUSDT,okx,mexc,1.375e-09,1.3783e-09,0.24,0.04,okx→mexc,loss,False
2025-08-13T04:16:00.894975,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:02.440722,inter_exchange,SLPUSDT,bybit,kucoin,0.001976,0.001979,0.1518,-0.0082,bybit→kucoin,breakeven,False
2025-08-13T04:16:02.440926,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:02.440984,inter_exchange,BABYDOGEUSDT,okx,mexc,1.375e-09,1.3782e-09,0.2327,0.0327,okx→mexc,loss,False
2025-08-13T04:16:02.441039,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:03.958073,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:03.958214,inter_exchange,BABYDOGEUSDT,okx,mexc,1.375e-09,1.3778e-09,0.2036,0.0036,okx→mexc,breakeven,False
2025-08-13T04:16:03.958315,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:05.452546,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:05.452648,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:06.943569,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:06.943739,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:08.429579,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:08.429751,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:09.948339,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:09.948478,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:11.432350,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
2025-08-13T04:16:11.432452,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:16:13.066885,inter_exchange,EDUUSDT,mexc,kucoin,0.1442,0.145,0.5548,0.3748,mexc→kucoin,profit,False
