rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
71,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75,24,0.4166666666666667,0.9985440159666925,0.0,50.0,-0.24789380549491974
72,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75,24,0.4166666666666667,0.9985440159666925,0.0,50.0,-0.24789380549491974
73,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75,24,0.4166666666666667,0.9788702011582676,0.0,50.0,-0.2830507838839591
74,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.75,24,0.4166666666666667,0.9788702011582676,0.0,50.0,-0.2830507838839591
75,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5,24,0.4166666666666667,0.9626071611064462,0.4962734881403476,43.90889830508475,-0.9585200353927237
76,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5,24,0.4166666666666667,0.96199629358969,0.0,50.0,-0.31057623643029886
77,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5,24,0.4166666666666667,0.96199629358969,0.0,50.0,-0.3105785358490598
78,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5,24,0.4166666666666667,0.9345129513554278,0.3056201018024285,41.883116883116884,-0.6200441805698342
79,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5,24,0.4166666666666667,0.9229272149064698,0.1795016591444442,43.24324324324324,-0.7875742477687353
80,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5,24,0.4166666666666667,0.8702541316460971,0.0,45.0,-0.35147174170613305
